cropFileName,cropPath,subset,className,sourceImageFileName,sourceImageStem,xmlFileName,xmlStem,xmlFilenameField,xmlFilenameFieldStem,objectIndexInSourceImage,sourceImageObjectCount,sourceImageDistinctClassCount,hasXmlFilenameMismatch,duplicateGroupSize,isExactDuplicateImage,isCrossSplitDuplicateImage,originalXmin,originalYmin,originalXmax,originalYmax,cropXmin,cropYmin,cropXmax,cropYmax,cropWidth,cropHeight,cropArea,bboxWidth,bboxHeight,bboxArea,trueClassIndex,predictedClassIndex,predictedClassName,predictedScore,isCorrectPrediction
val__978__obj001__corrosion.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/corrosion/val__978__obj001__corrosion.png,val,corrosion,978.jpg,978,978.xml,978,599.jpg,599,1,1,1,1,1,0,0,1,275,853,710,1,275,853,710,852,435,370620,852,435,370620,1,1,corrosion,0.9568981528282166,1
val__1062__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__1062__obj001__crack.png,val,crack,1062.jpg,1062,1062.xml,1062,94.jpg,94,1,2,1,1,1,0,0,273,394,319,594,273,394,319,594,46,200,9200,46,200,9200,4,4,crack,0.9962616562843323,1
val__1062__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__1062__obj002__crack.png,val,crack,1062.jpg,1062,1062.xml,1062,94.jpg,94,2,2,1,1,1,0,0,428,266,566,536,428,266,566,536,138,270,37260,138,270,37260,4,4,crack,0.9784928560256958,1
val__111__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__111__obj001__crack.png,val,crack,111.jpg,111,111.xml,111,111.jpg,111,1,1,1,0,1,0,0,416,263,586,402,416,263,586,402,170,139,23630,170,139,23630,4,4,crack,0.9828984141349792,1
val__143__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__143__obj001__crack.png,val,crack,143.jpg,143,143.xml,143,143.jpg,143,1,1,1,0,1,0,0,370,185,556,819,370,185,556,819,186,634,117924,186,634,117924,4,4,crack,0.9657050371170044,1
val__182__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__182__obj001__crack.png,val,crack,182.jpg,182,182.xml,182,182.jpg,182,1,1,1,0,1,0,0,391,17,512,731,391,17,512,731,121,714,86394,121,714,86394,4,4,crack,0.983657717704773,1
val__187__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__187__obj001__crack.png,val,crack,187.jpg,187,187.xml,187,187.jpg,187,1,2,1,0,1,0,0,119,186,305,311,119,186,305,311,186,125,23250,186,125,23250,4,4,crack,0.9943155646324158,1
val__187__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__187__obj002__crack.png,val,crack,187.jpg,187,187.xml,187,187.jpg,187,2,2,1,0,1,0,0,595,53,761,200,595,53,761,200,166,147,24402,166,147,24402,4,4,crack,0.41511452198028564,1
val__203__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__203__obj001__crack.png,val,crack,203.jpg,203,203.xml,203,203.jpg,203,1,2,1,0,1,0,0,284,66,433,200,284,66,433,200,149,134,19966,149,134,19966,4,0,craze,0.4961623251438141,0
val__203__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__203__obj002__crack.png,val,crack,203.jpg,203,203.xml,203,203.jpg,203,2,2,1,0,1,0,0,742,202,897,300,742,202,897,300,155,98,15190,155,98,15190,4,4,crack,0.9637513756752014,1
val__225__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__225__obj001__crack.png,val,crack,225.jpg,225,225.xml,225,225.jpg,225,1,1,1,0,1,0,0,372,1,497,364,372,1,497,364,125,363,45375,125,363,45375,4,5,hide_craze,0.8617587685585022,0
val__305__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__305__obj001__crack.png,val,crack,305.jpg,305,305.xml,305,305.jpg,305,1,2,1,0,1,0,0,275,389,323,591,275,389,323,591,48,202,9696,48,202,9696,4,4,crack,0.9715779423713684,1
val__305__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__305__obj002__crack.png,val,crack,305.jpg,305,305.xml,305,305.jpg,305,2,2,1,0,1,0,0,419,263,569,530,419,263,569,530,150,267,40050,150,267,40050,4,4,crack,0.9995557069778442,1
val__338__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__338__obj001__crack.png,val,crack,338.jpg,338,338.xml,338,338.jpg,338,1,1,1,0,1,0,0,481,219,819,400,481,219,819,400,338,181,61178,338,181,61178,4,4,crack,0.4430374503135681,1
val__348__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__348__obj001__crack.png,val,crack,348.jpg,348,348.xml,348,348.jpg,348,1,2,1,0,1,0,0,253,335,314,566,253,335,314,566,61,231,14091,61,231,14091,4,4,crack,0.9921774864196777,1
val__348__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__348__obj002__crack.png,val,crack,348.jpg,348,348.xml,348,348.jpg,348,2,2,1,0,1,0,0,445,194,623,491,445,194,623,491,178,297,52866,178,297,52866,4,4,crack,0.9998160004615784,1
val__433__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__433__obj001__crack.png,val,crack,433.jpg,433,433.xml,433,433.jpg,433,1,1,1,0,1,0,0,494,264,597,777,494,264,597,777,103,513,52839,103,513,52839,4,4,crack,0.9828020930290222,1
val__486__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__486__obj001__crack.png,val,crack,486.jpg,486,486.xml,486,486.jpg,486,1,1,1,0,1,0,0,294,28,641,486,294,28,641,486,347,458,158926,347,458,158926,4,2,surface_injure,0.6848297119140625,0
val__552__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__552__obj001__crack.png,val,crack,552.jpg,552,552.xml,552,552.jpg,552,1,1,1,0,1,0,0,325,1,809,786,325,1,809,786,484,785,379940,484,785,379940,4,4,crack,0.32580476999282837,1
val__562__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__562__obj001__crack.png,val,crack,562.jpg,562,562.xml,562,562.jpg,562,1,2,1,0,1,0,0,144,555,261,849,144,555,261,849,117,294,34398,117,294,34398,4,4,crack,0.9968551397323608,1
val__562__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__562__obj002__crack.png,val,crack,562.jpg,562,562.xml,562,562.jpg,562,2,2,1,0,1,0,0,453,366,697,781,453,366,697,781,244,415,101260,244,415,101260,4,4,crack,0.9975115656852722,1
val__567__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__567__obj001__crack.png,val,crack,567.jpg,567,567.xml,567,567.jpg,567,1,1,1,0,1,0,0,362,169,559,797,362,169,559,797,197,628,123716,197,628,123716,4,4,crack,0.9089419841766357,1
val__584__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__584__obj001__crack.png,val,crack,584.jpg,584,584.xml,584,584.jpg,584,1,1,1,0,1,0,0,28,149,334,835,28,149,334,835,306,686,209916,306,686,209916,4,2,surface_injure,0.5689436197280884,0
val__59__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__59__obj001__crack.png,val,crack,59.jpg,59,59.xml,59,59.jpg,59,1,1,1,0,1,0,0,767,380,903,614,767,380,903,614,136,234,31824,136,234,31824,4,4,crack,0.9609428644180298,1
val__602__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__602__obj001__crack.png,val,crack,602.jpg,602,602.xml,602,602.jpg,602,1,1,1,0,1,0,0,139,399,650,745,139,399,650,745,511,346,176806,511,346,176806,4,5,hide_craze,0.465224951505661,0
val__69__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__69__obj001__crack.png,val,crack,69.jpg,69,69.xml,69,69.jpg,69,1,2,1,0,1,0,0,278,78,445,263,278,78,445,263,167,185,30895,167,185,30895,4,0,craze,0.9380789399147034,0
val__69__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__69__obj002__crack.png,val,crack,69.jpg,69,69.xml,69,69.jpg,69,2,2,1,0,1,0,0,761,245,928,385,761,245,928,385,167,140,23380,167,140,23380,4,0,craze,0.993049681186676,0
val__70__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__70__obj001__crack.png,val,crack,70.jpg,70,70.xml,70,70.jpg,70,1,2,1,0,1,0,0,184,213,392,567,184,213,392,567,208,354,73632,208,354,73632,4,4,crack,0.7956076264381409,1
val__70__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__70__obj002__crack.png,val,crack,70.jpg,70,70.xml,70,70.jpg,70,2,2,1,0,1,0,0,545,16,659,466,545,16,659,466,114,450,51300,114,450,51300,4,4,crack,0.9978299736976624,1
val__738__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__738__obj001__crack.png,val,crack,738.jpg,738,738.xml,738,738.jpg,738,1,1,1,0,1,0,0,259,270,362,744,259,270,362,744,103,474,48822,103,474,48822,4,4,crack,0.9348925352096558,1
val__739__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__739__obj001__crack.png,val,crack,739.jpg,739,739.xml,739,739.jpg,739,1,2,1,0,1,0,0,103,211,284,367,103,211,284,367,181,156,28236,181,156,28236,4,2,surface_injure,0.8210689425468445,0
val__739__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__739__obj002__crack.png,val,crack,739.jpg,739,739.xml,739,739.jpg,739,2,2,1,0,1,0,0,584,63,753,228,584,63,753,228,169,165,27885,169,165,27885,4,4,crack,0.8279114365577698,1
val__780__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__780__obj001__crack.png,val,crack,780.jpg,780,780.xml,780,168.jpg,168,1,1,1,1,1,0,0,391,414,694,685,391,414,694,685,303,271,82113,303,271,82113,4,4,crack,0.9955539107322693,1
val__792__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__792__obj001__crack.png,val,crack,792.jpg,792,792.xml,792,187.jpg,187,1,2,1,1,1,0,0,119,186,305,311,119,186,305,311,186,125,23250,186,125,23250,4,4,crack,0.9887412190437317,1
val__792__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__792__obj002__crack.png,val,crack,792.jpg,792,792.xml,792,187.jpg,187,2,2,1,1,1,0,0,595,53,761,200,595,53,761,200,166,147,24402,166,147,24402,4,4,crack,0.7843883633613586,1
val__831__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__831__obj001__crack.png,val,crack,831.jpg,831,831.xml,831,263.jpg,263,1,2,1,1,1,0,0,112,200,295,305,112,200,295,305,183,105,19215,183,105,19215,4,4,crack,0.8325587511062622,1
val__831__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__831__obj002__crack.png,val,crack,831.jpg,831,831.xml,831,263.jpg,263,2,2,1,1,1,0,0,597,60,744,199,597,60,744,199,147,139,20433,147,139,20433,4,4,crack,0.9287958145141602,1
val__869__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__869__obj001__crack.png,val,crack,869.jpg,869,869.xml,869,348.jpg,348,1,2,1,1,1,0,0,253,335,314,566,253,335,314,566,61,231,14091,61,231,14091,4,4,crack,0.9897878170013428,1
val__869__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__869__obj002__crack.png,val,crack,869.jpg,869,869.xml,869,348.jpg,348,2,2,1,1,1,0,0,445,194,623,491,445,194,623,491,178,297,52866,178,297,52866,4,4,crack,0.9991395473480225,1
val__903__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__903__obj001__crack.png,val,crack,903.jpg,903,903.xml,903,418.jpg,418,1,1,1,1,1,0,0,775,483,883,542,775,483,883,542,108,59,6372,108,59,6372,4,4,crack,0.9865716695785522,1
val__911__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__911__obj001__crack.png,val,crack,911.jpg,911,911.xml,911,440.jpg,440,1,1,1,1,1,0,0,356,244,631,830,356,244,631,830,275,586,161150,275,586,161150,4,0,craze,0.8591059446334839,0
val__913__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__913__obj001__crack.png,val,crack,913.jpg,913,913.xml,913,447.jpg,447,1,2,1,1,1,0,0,498,188,734,494,498,188,734,494,236,306,72216,236,306,72216,4,5,hide_craze,0.9994330406188965,0
val__913__obj002__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__913__obj002__crack.png,val,crack,913.jpg,913,913.xml,913,447.jpg,447,2,2,1,1,1,0,0,908,331,980,560,908,331,980,560,72,229,16488,72,229,16488,4,4,crack,0.9385455846786499,1
val__953__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__953__obj001__crack.png,val,crack,953.jpg,953,953.xml,953,544.jpg,544,1,1,1,1,1,0,0,609,1,828,345,609,1,828,345,219,344,75336,219,344,75336,4,4,crack,0.8416348099708557,1
val__964__obj001__crack.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/crack/val__964__obj001__crack.png,val,crack,964.jpg,964,964.xml,964,570.jpg,570,1,1,1,1,1,0,0,414,230,602,494,414,230,602,494,188,264,49632,188,264,49632,4,4,crack,0.9975478649139404,1
val__1024__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/craze/val__1024__obj001__craze.png,val,craze,1024.jpg,1024,1024.xml,1024,691.jpg,691,1,1,1,1,1,0,0,281,780,727,900,281,780,727,900,446,120,53520,446,120,53520,0,0,craze,0.8443402051925659,1
val__1036__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/craze/val__1036__obj001__craze.png,val,craze,1036.jpg,1036,1036.xml,1036,710.jpg,710,1,1,1,1,1,0,0,120,439,917,870,120,439,917,870,797,431,343507,797,431,343507,0,0,craze,0.9535807371139526,1
val__117__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/craze/val__117__obj001__craze.png,val,craze,117.jpg,117,117.xml,117,117.jpg,117,1,1,1,0,1,0,0,402,356,1023,1008,402,356,1023,1008,621,652,404892,621,652,404892,0,0,craze,0.6665485501289368,1
val__123__obj001__craze.png,/Users/princebhanusteta/Documents/Projects/MajorProject_ML/WTDAnalysis/dataProcessed/crops/val/craze/val__123__obj001__craze.png,val,craze,123.jpg,123,123.xml,123,123.jpg,123,1,3,1,0,1,0,0,459,20,561,208,459,20,561,208,102,188,19176,102,188,19176,0,0,craze,0.91902095079422,1
